[0.000000] (-) TimerEvent: {}
[0.000254] (-) JobUnselected: {'identifier': 'action_tutorials_cpp'}
[0.000272] (-) JobUnselected: {'identifier': 'action_tutorials_interfaces'}
[0.000295] (-) JobUnselected: {'identifier': 'cpp_parameter_event_handler'}
[0.000323] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000332] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000340] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000347] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000354] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000361] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000373] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000380] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000387] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000395] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000402] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000409] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000416] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000423] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000430] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000438] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000449] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000456] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000464] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000471] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000478] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000485] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000491] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000498] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000505] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000511] (-) JobUnselected: {'identifier': 'learning_tf2_cpp'}
[0.000518] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.000525] (-) JobUnselected: {'identifier': 'my_package'}
[0.000532] (-) JobUnselected: {'identifier': 'polygon_base'}
[0.000539] (-) JobUnselected: {'identifier': 'polygon_plugins'}
[0.000546] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000552] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.000716] (-) EventReactorShutdown: {}
